repo,commit,predicted_files,actual_files,true_positives,precision,recall,f1
nextjs,528801f841e519567ef54d6e52e9b9831d162e1b,1,1,1,1.0,1.0,1.0
nextjs,84bde35459c52e1e0c4b25c6c4799743021e0fc7,1,1,1,1.0,1.0,1.0
