repo,commit,predicted_files,actual_files,true_positives,precision,recall,f1
flask,fbb6f0bc4c60a0bada0e03c3480d0ccf30a3c1df,10,10,10,1.0,1.0,1.0
flask,a29f88ce6f2f9843bd6fcbbfce1390a2071965d6,4,4,4,1.0,1.0,1.0
